FID,id,navn,loebenummer,web_id,x,y,longitude,latitude,graffitirenhold,wkb_geometry
monumenter.312,65129,Rød granitskulptur,334,427,723080.058165,6178325.376315,12.550165,55.699298,Nej,MULTIPOINT ((12.550165254149915 55.69929769755544))
monumenter.313,65130,Kvartmilesten,345,447,723820.896667,6177990.379246,12.561656,55.695952,Nej,MULTIPOINT ((12.561656152496303 55.6959523584001))
monumenter.314,65131,Jorden bærer dit aftryk,357,467,723061.690571,6178321.194796,12.54987,55.699269,Nej,MULTIPOINT ((12.549870172903592 55.69926863918391))
monumenter.315,65134,Jorden bærer dit aftryk,357,467,723628.085328,6176899.081636,12.557705,55.686254,Nej,MULTIPOINT ((12.557704677031142 55.68625439729112))
monumenter.316,65135,Moving the World,335,430,725079.702319,6176051.254011,12.580053,55.67798,Nej,MULTIPOINT ((12.580052621464924 55.67798050908306))
monumenter.317,65137,Spydsspidsen,358,468,722806.047966,6176905.392571,12.54466,55.686689,Ja,MULTIPOINT ((12.544660111585694 55.68668888327346))
monumenter.318,65138,Spydsspidsen,358,468,722791.901046,6176972.834056,12.54449,55.6873,Ja,MULTIPOINT ((12.544490305155415 55.68730020352902))
monumenter.319,65139,Talerstol,361,472,724544.71404,6175766.672652,12.571329,55.675676,Ja,MULTIPOINT ((12.571329007181049 55.67567600734918))
monumenter.320,65140,Punktet,359,469,722042.321798,6172459.599764,12.528942,55.647167,Ja,MULTIPOINT ((12.528941547988577 55.647167223145374))
monumenter.321,65142,Theophilus Hansen,346,450,726513.130576,6176463.033219,12.603142,55.681007,Nej,MULTIPOINT ((12.60314178953051 55.68100686605435))
monumenter.322,65143,Figuren Blågårds Plads,69,123,723595.07774,6176914.518957,12.557193,55.686408,Nej,MULTIPOINT ((12.55719327655757 55.68640804064943))
monumenter.323,65144,Jorden bærer dit aftryk,357,467,722315.932769,6178489.476085,12.538164,55.70112,Nej,MULTIPOINT ((12.538163886902312 55.70112000515007))
monumenter.324,65145,Jorden bærer dit aftryk,357,467,723597.368822,6177711.957501,12.55788,55.693558,Nej,MULTIPOINT ((12.557879792597374 55.69355847305541))
monumenter.325,65127,Mindeplade for Bethelskibet,338,436,725553.386738,6176346.289417,12.587813,55.680407,Nej,MULTIPOINT ((12.58781283883609 55.68040659848129))
monumenter.326,65146,Jorden bærer dit aftryk,357,467,723923.282752,6177011.017908,12.562482,55.687122,Nej,MULTIPOINT ((12.562482180223984 55.68712220578702))
monumenter.327,65147,Theresienstadt-monumentet,348,453,726258.409132,6178980.149634,12.601176,55.703698,Ja,MULTIPOINT ((12.601175816055022 55.70369822365208))
monumenter.328,65148,Full Length,367,482,725878.718742,6176141.411195,12.592808,55.678418,Ja,MULTIPOINT ((12.592807772745713 55.6784181105102))
monumenter.329,65149,Mindeplade for Finn Nørgaard,368,483,724575.548928,6179088.316241,12.574538,55.70545,,MULTIPOINT ((12.574538407871342 55.70544998743491))
monumenter.330,65150,Øjeblik I,369,485,724756.879777,6178853.433477,12.577226,55.70326,Ja,MULTIPOINT ((12.57722565366815 55.70325963452764))
monumenter.331,65151,Bygherren Christian IV,373,509,725239.27115,6175843.988315,12.582415,55.676048,Ja,MULTIPOINT ((12.58241503208963 55.676047813971905))
